Donor,Day,Sample id,Number of cells,Subpopulation,UMIs,Unique clonotypes,Chain
W,15,W_d15_F1,~2mln,PBMC,2226182,864152,TCRbeta
W,15,W_d15_F2,~2mln,PBMC,2117555,843790,TCRbeta
W,15,W_d15_CD4,~2mln,CD4+,898479,432951,TCRbeta
W,15,W_d15_CD8,~2mln,CD8+,612284,213899,TCRbeta
W,30,W_d30_F1,~2mln,PBMC,2242298,950056,TCRbeta
W,30,W_d30_F2,~2mln,PBMC,2298108,1004548,TCRbeta
W,30,W_d30_CD4,~2mln,CD4+,558144,330415,TCRbeta
W,30,W_d30_CD8,~2mln,CD8+,344150,153517,TCRbeta
W,30,W_d30_CM,~250000,CM,91608,52847,TCRbeta
W,30,W_d30_EM,~600000,EM,207923,68421,TCRbeta
W,30,W_d30_EMRA,~290000,EMRA,92780,19764,TCRbeta
W,30,W_d30_Tscm,1781,SCM,9912,1658,TCRbeta
W,37,W_d37_F1,~2mln,PBMC,2533659,1011503,TCRbeta
W,37,W_d37_F2,~2mln,PBMC,2455659,1004298,TCRbeta
W,37,W_d37_CD4,~2mln,CD4+,241659,166986,TCRbeta
W,37,W_d37_CD8,~2mln,CD8+,274938,118073,TCRbeta
W,45,W_d45_F1,~2mln,PBMC,2169770,975407,TCRbeta
W,45,W_d45_F2,~2mln,PBMC,2648548,1127294,TCRbeta
W,45,W_d45_CD4,~2mln,CD4+,NA,NA,TCRbeta(failed)
W,45,W_d45_CD8,~2mln,CD8+,1118270,414695,TCRbeta
W,45,W_d45_CM,~390000,CM,113689,52016,TCRbeta
W,45,W_d45_EM,~640000,EM,97369,30101,TCRbeta
W,45,W_d45_EMRA,~190000,EMRA,34021,7625,TCRbeta
W,45,W_d45_Tscm,4456,SCM,4343,1805,TCRbeta
W,2yrs_before,W_2018,~1mln,PBMC,366242,214651,TCRbeta
W,1yr_before,W_2019,~2mln,PBMC,809342,400566,TCRbeta
M,15,M_d15_F1,~2mln,PBMC,1953076,552410,TCRbeta
M,15,M_d15_F2,~2mln,PBMC,1130068,375859,TCRbeta
M,15,M_d15_CD4,~2mln,CD4+,389710,206641,TCRbeta
M,15,M_d15_CD8,~2mln,CD8+,467521,100613,TCRbeta
M,30,M_d30_F1,~2mln,PBMC,1767334,588152,TCRbeta
M,30,M_d30_F2,~2mln,PBMC,1644758,554467,TCRbeta
M,30,M_d30_CD4,~2mln,CD4+,625239,306877,TCRbeta
M,30,M_d30_CD8,~2mln,CD8+,563653,140613,TCRbeta
M,30,M_d30_CM,~340000,CM,104887,61695,TCRbeta
M,30,M_d30_EM,~570000,EM,365988,82575,TCRbeta
M,30,M_d30_EMRA,~370000,EMRA,180522,15195,TCRbeta
M,30,M_d30_Tscm,5100,SCM,37604,7553,TCRbeta
M,37,M_d37_F1,~2mln,PBMC,1569489,483907,TCRbeta
M,37,M_d37_F2,~2mln,PBMC,1625608,503318,TCRbeta
M,37,M_d37_CD4,~2mln,CD4+,569871,268847,TCRbeta
M,37,M_d37_CD8,~2mln,CD8+,553110,121763,TCRbeta
M,45,M_d45_F1,~2mln,PBMC,2264245,717660,TCRbeta
M,45,M_d45_F2,~2mln,PBMC,2637630,796470,TCRbeta
M,45,M_d45_CD4,~2mln,CD4+,1055641,445953,TCRbeta
M,45,M_d45_CD8,~2mln,CD8+,1067207,226965,TCRbeta
M,45,M_d45_CM,~550000,CM,147715,82657,TCRbeta
M,45,M_d45_EM,~630000,EM,177586,39051,TCRbeta
M,45,M_d45_EMRA,~490000,EMRA,275070,16305,TCRbeta
M,45,M_d45_Tscm,11975,SCM,8059,4460,TCRbeta
M,2yrs_before,M_2018,~4mln,PBMC,974827,398473,TCRbeta
M,1yr_before,M_2019,~4mln,PBMC,785482,315831,TCRbeta
W,15,W_d15_F1,~2mln,PBMC,1893715,691016,TCRalpha
W,15,W_d15_F2,~2mln,PBMC,1818236,673343,TCRalpha
W,15,W_d15_CD4,~2mln,CD4+,695768,330083,TCRalpha
W,15,W_d15_CD8,~2mln,CD8+,461140,165572,TCRalpha
W,30,W_d30_F1,~2mln,PBMC,1637361,664976,TCRalpha
W,30,W_d30_F2,~2mln,PBMC,2028877,780801,TCRalpha
W,30,W_d30_CD4,~2mln,CD4+,415796,231800,TCRalpha
W,30,W_d30_CD8,~2mln,CD8+,266437,110545,TCRalpha
W,30,W_d30_CM,~250000,CM,46083,29952,TCRalpha
W,30,W_d30_EM,~600000,EM,179273,61050,TCRalpha
W,30,W_d30_EMRA,~290000,EMRA,39678,10866,TCRalpha
W,30,W_d30_Tscm,1781,SCM,2385,1812,TCRalpha
W,37,W_d37_F1,~2mln,PBMC,1964102,754552,TCRalpha
W,37,W_d37_F2,~2mln,PBMC,2082437,787025,TCRalpha
W,37,W_d37_CD4,~2mln,CD4+,154590,106391,TCRalpha
W,37,W_d37_CD8,~2mln,CD8+,225474,96134,TCRalpha
W,45,W_d45_F1,~2mln,PBMC,1709165,717335,TCRalpha
W,45,W_d45_F2,~2mln,PBMC,2219897,866104,TCRalpha
W,45,W_d45_CD4,~2mln,CD4+,1235406,556179,TCRalpha
W,45,W_d45_CD8,~2mln,CD8+,900514,326688,TCRalpha
W,45,W_d45_CM,~390000,CM,75920,45240,TCRalpha
W,45,W_d45_EM,~640000,EM,71550,27366,TCRalpha
W,45,W_d45_EMRA,~190000,EMRA,22421,5466,TCRalpha
W,45,W_d45_Tscm,4456,SCM,3846,1515,TCRalpha
W,2yrs_before,W_2018,~1mln,PBMC,316895,179329,TCRalpha
W,1yr_before,W_2019,~2mln,PBMC,569933,273487,TCRalpha
M,15,M_d15_F1,~2mln,PBMC,1506261,429563,TCRalpha
M,15,M_d15_F2,~2mln,PBMC,981226,320564,TCRalpha
M,15,M_d15_CD4,~2mln,CD4+,305343,164994,TCRalpha
M,15,M_d15_CD8,~2mln,CD8+,522737,103809,TCRalpha
M,30,M_d30_F1,~2mln,PBMC,1290304,437760,TCRalpha
M,30,M_d30_F2,~2mln,PBMC,1376655,457460,TCRalpha
M,30,M_d30_CD4,~2mln,CD4+,419034,225443,TCRalpha
M,30,M_d30_CD8,~2mln,CD8+,401718,106760,TCRalpha
M,30,M_d30_CM,~340000,CM,69188,46122,TCRalpha
M,30,M_d30_EM,~570000,EM,303640,80125,TCRalpha
M,30,M_d30_EMRA,~370000,EMRA,121940,12571,TCRalpha
M,30,M_d30_Tscm,5100,SCM,10014,3105,TCRalpha
M,37,M_d37_F1,~2mln,PBMC,1292337,407991,TCRalpha
M,37,M_d37_F2,~2mln,PBMC,1406787,434118,TCRalpha
M,37,M_d37_CD4,~2mln,CD4+,414243,209143,TCRalpha
M,37,M_d37_CD8,~2mln,CD8+,529264,116271,TCRalpha
M,45,M_d45_F1,~2mln,PBMC,1703183,529141,TCRalpha
M,45,M_d45_F2,~2mln,PBMC,1984240,594171,TCRalpha
M,45,M_d45_CD4,~2mln,CD4+,789364,344019,TCRalpha
M,45,M_d45_CD8,~2mln,CD8+,847296,179397,TCRalpha
M,45,M_d45_CM,~550000,CM,99617,61263,TCRalpha
M,45,M_d45_EM,~630000,EM,113973,30557,TCRalpha
M,45,M_d45_EMRA,~490000,EMRA,200440,13208,TCRalpha
M,45,M_d45_Tscm,11975,SCM,8186,4303,TCRalpha
M,2yrs_before,M_2018,~4mln,PBMC,738123,299183,TCRalpha
M,1yr_before,M_2019,~4mln,PBMC,757262,289693,TCRalpha